Region,Ciclo,MAE,RMSE,Bias,Dias del ciclo
Villa de Allende,2017,0.2798093729509649,0.3438820084631631,0.27895003230412796,90
Villa de Allende,2018,0.27327166837791317,0.32238875494832786,0.27270036374683115,90
Villa de Allende,2019,0.28972680345248214,0.34498768453631773,0.28912550807294046,90
Villa de Allende,2020,0.29053291228920713,0.3571193026835064,0.2898012179167892,90
Villa de Allende,2021,0.24953330990966457,0.2943975300450732,0.24890434383958232,90
Villa de Allende,2022,0.2803808100070899,0.3340566032370632,0.2798124645328185,90
Villa de Allende,2023,0.328368362936502,0.4172244063277646,0.32745692299816576,90
Villa de Allende,2024,0.26032110706797024,0.32481303129530087,0.2597025904238042,90
Zapopan,2010,0.31227223077388955,0.45254701820897064,0.2025664792287876,161
Zapopan,2011,0.2989152277270316,0.428861307284032,0.1968814245717758,161
Zapopan,2012,0.29162048923190126,0.4012083472660845,0.18161778697336833,161
Zapopan,2013,0.2775568907967002,0.39425376396462036,0.19021028752625466,161
Zapopan,2014,0.2508580567118609,0.3322635836868263,0.15675379003054965,161
Zapopan,2015,0.26363567234488905,0.3471820938163642,0.1592565493148127,161
Zapopan,2016,0.28900134034785685,0.4028643249631958,0.18684547788879322,161
Zapopan,2017,0.29909282703794937,0.4224817018630237,0.20265897136123737,161
Zapopan,2018,0.2814463601437084,0.40007819445978404,0.19380189354709434,161
Zapopan,2019,0.30057856874404093,0.427262411119805,0.21171012778300818,161
Zapopan,2020,0.31653087928927004,0.4445981526586854,0.20317896412328212,161
Zapopan,2021,0.28736278430099277,0.4222140703256034,0.18670517883904653,161
Zapopan,2022,0.28375003731003634,0.40511645510493927,0.18651880796064918,161
Zapopan,2023,0.3159112860749826,0.43845341165367874,0.22292974328957282,161
Zapopan,2024,0.31690972787060123,0.46893053258271233,0.21635180898043668,161
